1272.txt	327
1488.txt	403
1101.txt	162
1806.txt	814
1709.txt	665
635.txt	3231
619.txt	1517
1822.txt	347
732.txt	1449
1087.txt	1229
473.txt	1577
376.txt	614
1362.txt	779
104.txt	5713
1265.txt	86
279.txt	1233
201.txt	824
1121.txt	2453
892.txt	6877
1660.txt	291
1563.txt	152
120.txt	2838
1288.txt	740
1008.txt	231
1105.txt	60
1547.txt	133
1202.txt	1138
1466.txt	289
45.txt	4247
690.txt	4751
1403.txt	2557
1675.txt	6968
1322.txt	2058
1331.txt	458
1691.txt	1465
1137.txt	130
1072.txt	194
1950.txt	277
135.txt	841
604.txt	1212
1218.txt	303
61.txt	3945
948.txt	1069
1862.txt	291
1837.txt	502
1160.txt	2735
21.txt	494
876.txt	2714
160.txt	433
1209.txt	9561
1621.txt	4877
1346.txt	237
248.txt	243
36.txt	637
933.txt	137
577.txt	527
1508.txt	2732
1378.txt	156
1017.txt	182
1047.txt	71
361.txt	1622
216.txt	4458
563.txt	989
1191.txt	346
1734.txt	223
1637.txt	1413
288.txt	102
804.txt	820
1175.txt	977
1078.txt	1769
1450.txt	720
1130.txt	48
820.txt	4145
1337.txt	95
1491.txt	506
91.txt	2617
77.txt	96
190.txt	2890
709.txt	3304
30.txt	1644
545.txt	4293
1274.txt	1350
417.txt	1757
273.txt	122
1876.txt	1080
176.txt	1011
1031.txt	532
1894.txt	120
403.txt	1013
1749.txt	462
306.txt	4164
1392.txt	413
144.txt	304
1533.txt	62
764.txt	92
530.txt	2638
746.txt	1873
489.txt	90
1436.txt	1022
1119.txt	2397
674.txt	1423
507.txt	543
779.txt	89
1765.txt	805
1063.txt	116
1693.txt	1556
1146.txt	1203
435.txt	193
1934.txt	918
1421.txt	208
1279.txt	1105
689.txt	291
964.txt	77
234.txt	3400
620.txt	1608
345.txt	1454
836.txt	3076
1409.txt	722
1966.txt	4645
1605.txt	97
1475.txt	2516
149.txt	1352
1750.txt	1049
1662.txt	340
1360.txt	2697
1204.txt	1203
1247.txt	443
890.txt	577
1506.txt	599
1921.txt	87
1549.txt	419
978.txt	84
935.txt	39
1107.txt	243
218.txt	94
1964.txt	2261
102.txt	3271
1820.txt	2484
1308.txt	103
734.txt	622
1448.txt	497
1232.txt	4838
1405.txt	292
1790.txt	388
475.txt	104
1135.txt	1217
777.txt	1612
1707.txt	85
1263.txt	324
1220.txt	460
991.txt	88
4.txt	78
419.txt	1446
762.txt	273
1909.txt	416
575.txt	339
1561.txt	4053
908.txt	3662
